Fighter,Summary,Link
Philippe Pomaski,"Philippe Pomaski is a Swiss grappler and a Brazilian jiu-jitsu black belt under Leonardo Vieira, who also worked extensively with Gabriel Rollo (Palito), Thiago …",https://www.bjjheroes.com/bjj-fighters/philippe-pomaski
Junny Ocasio,"Edwin Ocasio, commonly known as Junny Ocasio is a Brazilian jiu-jitsu black belt under Murilo Santana, and one of the main representatives of the …",https://www.bjjheroes.com/bjj-fighters/junny-ocasio
Julia Boscher,"Julia Boscher is a Brazilian jiu-jitsu black belt under Hugo Marques and Alexandre Salgado, who is one of the main representatives of the Soul …",https://www.bjjheroes.com/bjj-fighters/julia-boscher
Richard Alarcon,"Richard Alarcon, also known as “Red”, is a Brazilian jiu-jitsu black belt under Givanildo Santana of the One Jiu-Jitsu Academy, who also worked extensively …",https://www.bjjheroes.com/bjj-fighters/richard-alarcon
Leonardo Silva,"Leonardo Silva Guimarães, commonly known as Leo Silva is a Brazilian jiu-jitsu black belt under Gutemberg Pereira and Dante Leon, who trained extensively with …",https://www.bjjheroes.com/bjj-fighters/leonardo-silva
Leonardo Peçanha,Leonardo Peçanha is a Brazilian jiu-jitsu black belt under Master Wendell Alexander Cavalcante Lago (Dell) and the founder of the Kronos BJJ team. Widely …,https://www.bjjheroes.com/bjj-fighters/leonardo-pecanha
Rodrigo Siqueira,Rodrigo Siqueira is a Brazilian jiu-jitsu black belt under Luciano Nucci (Casquinha) and a representative of the Alliance Jiu-Jitsu Academy. Although a top contender …,https://www.bjjheroes.com/bjj-fighters/rodrigo-siqueira
Eldar “Yakuza” Rafigaev,"Eldar Rafigaev, commonly known as Yakuza, is an Eastern European grappler, from Moldova, and one of the prominent competitors of his generation. A Brazilian …",https://www.bjjheroes.com/bjj-fighters/eldar-rafigaev
Italo Moura,"Italo Moura is a Brazilian jiu-jitsu black belt under Cicero Costha and Murilo Santana, as well as a representative of the Cicero Costha (PSLPB) …",https://www.bjjheroes.com/bjj-fighters/italo-moura
Jonas Andrade,"Francisco Jonas Borges Andrade, commonly known as Jonas Andrade, is a Brazilian jiu-jitsu black belt under Cicero Costha and Murilo Santana, as well as …",https://www.bjjheroes.com/bjj-fighters/jonas-andrade
Elvira Karppinen,"Elvira Karppinen is a grappler from Finland and a black belt in the 10th Planet system, a rank awarded by the team’s founder Eddie …",https://www.bjjheroes.com/bjj-fighters/elvira-karppinen
Pedro Crixel,"Pedro Crixel is a Brazilian jiu-jitsu black belt under Cicero Costha, who worked extensively with Guilherme and Guto Campos, as well as André Galvão …",https://www.bjjheroes.com/bjj-fighters/pedro-crixel
Fábio Alano,"Fábio Alano, also known as Fábio ‘Kamikase’ (Portuguese spelling for Kamikaze), is a martial artist and a black belt in hapkido, shotokan karate and …",https://www.bjjheroes.com/bjj-fighters/fabio-alano
Jake Watson,"Jake Watson is a Brazilian jiu-jitsu black belt under André Maracaba, who is widely regarded as one of the top grapplers of his generation, …",https://www.bjjheroes.com/bjj-fighters/jake-watson
Gabriel Figueiró,"Gabriel Figueiró is a Brazilian jiu-jitsu black belt under Fábio Gurgel and Michael Langhi of the Alliance ‘Matiz’ Academy (team headquarters in São Paulo, …",https://www.bjjheroes.com/bjj-fighters/gabriel-figueiro
Paulo Gabriel,"Paulo Gabriel Martins da Costa, commonly known as Paulo Gabriel, is a Brazilian jiu-jitsu black belt under Letícia Ribeiro and Fabrício Camões (Morango), who …",https://www.bjjheroes.com/bjj-fighters/paulo-gabriel
Natan Chueng,"Natan Chueng is a Brazilian jiu-jitsu black belt under Cícero Costha, who worked extensively with Douglas Rufino (Trator), Sandro Vieira and Paulo Maurício Strauch …",https://www.bjjheroes.com/bjj-fighters/natan-chueng
Vedha Toscano,"Vedha Toscano is a Brazilian jiu-jitsu black belt under Fábio Clemente (her father), and one of the main representatives of the Team Fábio Clemente …",https://www.bjjheroes.com/bjj-fighters/vedha-toscano
Guthierry Barbosa,"Guthierry Barbosa is a Brazilian jiu-jitsu black belts under Juan Lopes da Silva, who worked extensively with Diego Bispo, Guthierry’s older brother. Barbosa is …",https://www.bjjheroes.com/bjj-fighters/guthierry-barbosa
Bruno Lima,"Bruno Lima is a Portuguese grappler and a Brazilian jiu-jitsu black belt under Alexandre Machado, who is widely recognized as one of the top …",https://www.bjjheroes.com/bjj-fighters/bruno-lima
Rafael Paganini,"Rafael Paganini is a Brazilian jiu-jitsu black belt under Michael Langhi and Fábio Gurgel of the Alliance Academy, who worked extensively also with Eduardo …",https://www.bjjheroes.com/bjj-fighters/rafael-paganini
Nuno Martins,"Nuno Martins is a Brazilian jiu-jitsu black belt under Arnaldo Alves of Portuguese nationality, who worked extensively with a number of coaches from around …",https://www.bjjheroes.com/bjj-fighters/nuno-martins
Ronaldo Junior,"Ronaldo Souza Júnior is a Brazilian jiu-jitsu black belt under André Galvão of the Atos JJ team, who worked extensively with Adilson ‘Bitta’ Lima …",https://www.bjjheroes.com/bjj-fighters/ronaldo-junior
Victor Hugo,"Victor Hugo Marques, or simply Victor Hugo, is a Brazilian jiu-jitsu black belt under Saulo and Alexandre Ribeiro (Xande) of the Ribeiro Jiu-Jitsu Association, …",https://www.bjjheroes.com/bjj-fighters/victor-hugo
Malachi Edmond,Malachi Edmond is a Brazilian jiu-jitsu black belt under Lloyd Irvin who worked extensively with coach Donnie Achnick while representing the Team Lloyd Irvin …,https://www.bjjheroes.com/bjj-fighters/malachi-edmond
Gabrieli Pessanha,Gabrieli Pessanha is a Brazilian jiu-jitsu black belt under Marcio de Deus and a representative of the InFight team in the sport / martial-art’s …,https://www.bjjheroes.com/bjj-fighters/gabrieli-pessanha
Marcus Ribeiro,"Marcus Vinicius Ribeiro is a Brazilian jiu-jitsu black belt under Luciano Nucci (Casquinha), who also worked extensively with coaches Juan Caio Kamezawa and Rodrigo …",https://www.bjjheroes.com/bjj-fighters/marcus-ribeiro
Jonnatas Gracie,"Jonnatas Gracie is a Brazilian jiu-jitsu black belt under André Galvão, who also worked extensively with Luiz Guilherme (Guigo), prior to joining the Atos …",https://www.bjjheroes.com/bjj-fighters/jonnatas-gracie
Thamara Ferreira,"Thamara Ferreira Silva is a Brazilian jiu-jitsu black belt under Cicero Costha and a representative of the Projeto Social Lutando Pelo Bem (PSLPB) Team, who worked …",https://www.bjjheroes.com/bjj-fighters/thamara-ferreira
Thalison Soares,"Thalison Soares is a Brazilian jiu-jitsu black belt under Cicero Costha and a representative of the Projeto Social Lutando Pelo Bem (PSLPB) Team, who …",https://www.bjjheroes.com/bjj-fighters/thalison-soares
Mauricio Antunes,"Mauricio Antunes, commonly known as “Tarja”, is a Brazilian jiu-jitsu black belt under Cicero Costha, who worked extensively with Alexandre de Souza. One of …",https://www.bjjheroes.com/bjj-fighters/mauricio-antunes
Gabriel Willlcox,"Gabriel Willlcox is a Brazilian jiu-jitsu black belt under Marcelo Alonso, and one of the main representatives of the Carlson Gracie Academy in the …",https://www.bjjheroes.com/bjj-fighters/gabriel-willlcox
Melqui Galvão,"Melquisedeque Galvão, commonly known as Melqui Galvão, is a Brazilian jiu-jitsu black belt under Ronnie Melo, who is one of the main assets of …",https://www.bjjheroes.com/bjj-fighters/melqui-galvao
Johnatha Alves,"Johnatha Alves is a Brazilian jiu-jitsu black belt under Guilherme Mendes, who is also a product of the Believe & Achieve grappling scholarship, being …",https://www.bjjheroes.com/bjj-fighters/johnatha-barbosa-alves
Ali Monfaradi,"Ali Monfaradi is a Brazilian jiu-jitsu black belt under Fábio Gurgel of Alliance Jiu-Jitsu, who also worked extensively with Reza Monfaradi and is the …",https://www.bjjheroes.com/bjj-fighters/ali-monfaradi
Doug Pelinkovic,"Drgut Pelinkovic, commonly known as Doug Pelinkovic is a 5th dan in shōtōkan karate, as well as a black belt in Brazilian jiu-jitsu under …",https://www.bjjheroes.com/bjj-fighters/doug-pelinkovic
Perttu Tepponen,"Perttu Tepponen is Finnish grappler and a Brazilian jiu-jitsu black belt under Tero Pyylampi and Pedro Duarte, as well as one of the top …",https://www.bjjheroes.com/bjj-fighters/perttu-tepponen
Vinicius Pereira,Vinicius dos Santos Pereira is a Brazilian jiu-jitsu black belt under Cássio Francis and one of the main figures of the Cassão Team in …,https://www.bjjheroes.com/bjj-fighters/vinicius-pereira
Edson Diniz,"Edson Diniz is a Brazilian jiu-jitsu black belt under Rogério Poggio, who worked extensively with coaches Pitoco Jordan, Jorge Pereira, and Ricardo Libório while …",https://www.bjjheroes.com/bjj-fighters/diniz
Larissa Paes,"Larissa Paes is a Brazilian jiu-jitsu black belt under Paulo Avolio, and one of the main representatives of the Gordo JJ Association, a team …",https://www.bjjheroes.com/bjj-fighters/larissa-paes
Deandre Corbe,"Deandre Corbe is a Brazilian jiu-jitsu black belt under Nestor Bayot, with vast experience in Muay Thai and folkstyle wrestling. Deandre is one of …",https://www.bjjheroes.com/bjj-fighters/deandre-corbe
Arthur Detânico,"Arthur Detânico is a Brazilian jiu-jitsu black belt under Mateus Bernardi, and one of the main lightweight (76,00 kg / 168.0 lbs) grapplers to …",https://www.bjjheroes.com/bjj-fighters/arthur-detanico
Eduardo Galvão,"Eduardo Galvão is a Brazilian jiu-jitsu black belt under Carlos Gracie Junior, who was one of the top grapplers in the sport during the …",https://www.bjjheroes.com/bjj-fighters/eduardo-galvao
