Fighter,Summary,Link
Dany Gerard,"Dany Gerard is a Brazilian jiu-jitsu black belt under Mike Fowler, being also the first high-level submission grappler ever produced by Tahiti. One of …",https://www.bjjheroes.com/bjj-fighters/dany-gerard
Marcos “Ratinho”,"Antônio Marcos Santana, commonly known as Marcos “Ratinho” is a Brazilian jiu jitsu black belt under Ricardo Vieira and Fabricio “Bicudo” Medeiros. An accomplished athlete with important wins in jiu jitsu and mixed martial arts (MMA) – under ONE FC’s promotion, Ratinho is also a true jiu jitsu globetrotter, having trained and coached in places such Brazil, Dubai, Abu Dhabi or Singapore.",https://www.bjjheroes.com/bjj-fighters/marcos-ratinho
Francisco Iturralde,"Francisco Iturralde, commonly known as “Sinistro” is a Brazilian jiu jitsu black belt under Fernando “Soluço” Di Piero of the Alliance academy, being the first big name to come out of Ecuador in this sport. A 2x World Champion in the juvenile division, Sinistro was quick to make his mark in grappling, later cementing his status as the top talent in South America’s west coast with medals at the Pan American Championships, European Open and countless others.",https://www.bjjheroes.com/bjj-fighters/francisco-iturralde
Gordon Ryan,"Gordon Ryan is a New Jersey (USA) born grappler, known particularly in jiu jitsu’s no-gi and submission only circuit where he has beaten big names such as Gabriel Arges, Enrico Cocco and Nathan Orchard. A submission orientated competitor and one of the leading jiu jitsu figures of his generation, Gordon cemented his name as one of the top brown belts on the planet in 2015 by winning the Newaza Challenge and No-Gi World Championship, which led to his black belt promotion under Garry Tonon – this way becoming Tonon’s first ever student to achieve the rank.",https://www.bjjheroes.com/bjj-fighters/gordon-ryan
Kiko Velloso,"Ricardo Velloso, commonly known as “Kiko” Velloso is a Brazilian jiu jitsu coral belt (7th degree), who earned his black belt rank from the late Carlson Gracie, being one of the historic members of Carlson’s powerful competition team during the 1980s and 1990s. Kiko was also one of the head instructors of the Carlson Gracie Academy headquarters in Rua Figueiredo Magalhães for 15 years, where he helped develop the games of hundreds of grapplers.",https://www.bjjheroes.com/bjj-fighters/kiko-velloso
Francisco “Sázinho”,"Francisco Pinto Sá, commonly known as “Sázinho” Francisco, is a Brazilian jiu jitsu black belt under Master Francisco Sá, being often revered by the grappling community as one of Ceará state’s most important figures, due to his efforts in pushing for the development of this martial arts style in the northeastern region of Brazil. Sázinho is also known as one of the founders of the SAS team association, and for his coaching talent, having developed important grapplers such as Daniel Beleza, Marcus Aurélio, and countless others.",https://www.bjjheroes.com/bjj-fighters/francisco-sazinho
James Boran,"James Boran is a Brazilian jiu jitsu black belt under Joe Moreira, and a pioneering figure for this martial art in the United States, being among the first 12 grapplers outside Brazil to have earned a black belt in BJJ, a group often named as the Dirty Dozen. A former American football player, Boran carried his competitive drive to jiu jitsu, being highly decorated as a black belt, having won important tournaments such as the World Masters Championship, the Word No-Gi Championship as well as the Pan American Championship on numerous occasions.",https://www.bjjheroes.com/bjj-fighters/james-boran
Richie Martinez,"Richie Martinez, also known as “Boogeyman” is a jiu jitsu black belt under Eddie Bravo and one of the top representatives of the 10th Planet Jiu Jitsu Academy in grappling’s competitive no-gi scene. An EBI and Onnit Invitational tournament runner-up, Richie is also the brother of another accomplished jiu jitsu competitor, Geo Martinez, the two being known as the “Freak Brothers” among the sport’s community.",https://www.bjjheroes.com/bjj-fighters/richie-martinez
Bruno “Alminha” Moreno,"Bruno Moreno, commonly known as Bruno “Alminha”, is a Brazilian jiu jitsu black belt under Jair Lourenço of the Kimura-Nova União academy. Regarded by many as one of the top roosterweights of his generation, “Alminha” remained in relative anonymity in jiu jitsu’s mainstream media, mainly due to his place of residence Rio Grande do Norte, a state located far from the sport’s limelight from which he earned important titles such as World Cup Champion (CBJJO), Brazilian National Champion (IBJJF) and European Open Champion (IBJJF).",https://www.bjjheroes.com/bjj-fighters/bruno-moreno
Kristina Barlaan,"Kristina Barlaan is a Brazilian jiu jitsu black belt under Caio Terra, who also trained extensively with Gustavo Dantas, being one of the main figures in the light-featherweight division of the sport. A reputation she earned through important wins such the IBJJF European Open and Pan American Championships.",https://www.bjjheroes.com/bjj-fighters/kristina-barlaan
Egan Inoue,"Egan Inoue is a retired mixed martial arts (MMA) fighter and a historic figure in the sport of Brazilian jiu jitsu, where he was the first non-Brazilian athlete to win a gold medal at the IBJJF/CBJJ World Jiu Jitsu Championships (1996/1997). A black belt under John Lewis, Inoue had a life filled with sporting achievements, being a world champion not only in jiu jitsu (2x), but also in racquetball (2x), MMA (5x under SuperBrawl promotion) while being also a world class spearfisher. Egan’s brother Enson Inoue is also a revered figure in both MMA and BJJ.",https://www.bjjheroes.com/bjj-fighters/egan-inoue
Régis Lebre,"Régis Lebre is a Brazilian jiu jitsu black belt under Royler Gracie, regarded as one of the pioneers in the US East Coast through his work at Steve and DC Maxewell’s Maxwercise in Philadelphia. Not only a revered instructor, Lebre was also highly successful as a competitor, having earned a Pan American title, Masters & Senior title, and several Rio State championships.",https://www.bjjheroes.com/bjj-fighters/regis-lebre
Marcel Fortuna,"Marcel Fortuna, also known as “Mãozinha”, is a Brazilian jiu jitsu black belt under Alexandre de Souza (Pop), and a professional mixed martial arts (MMA) fighter. Having conquered an IBJJF World title representing the Gracie Florianópolis team (2007), Fortuna would later join the famous Ralph Gracie’s academy in San Francisco – California (2009), with whom he started his MMA career, while still keeping active within the local grappling circuit.",https://www.bjjheroes.com/bjj-fighters/marcel-fortuna
Darson Hemmings,"Darson Hemmings is a Jamaican/Canadian black belt in Brazilian jiu jitsu by Jorge Britto, being the first athlete of Caribbean origin to compete in the ADCC. Hemmings is also one of the most accomplished Canadian competitors of his generation with medals at tournaments such as the World No-Gi Championship, European Open and Pan American Championship.",https://www.bjjheroes.com/bjj-fighters/darson-hemmings
Neiman Gracie,"Neiman Gracie is a Brazilian jiu jitsu black belt under Renzo Gracie, being also the great grandson of Gracie jiu jitsu founder Carlos Gracie (10th degree), grandson to 9th degree red belt Robson Gracie as well as the son of the famous Master Márcio Stambowsky. Neiman earned his place in the sport by his own merit, earning numerous titles in Gi and No-Gi tournaments before his transition to mixed martial arts (MMA) in 2013, having fought for prestigious promotions such as Bellator and World Series of Fighting (WSOF).",https://www.bjjheroes.com/bjj-fighters/neiman-gracie
Amal Easton,"Amal Easton is a veteran muay thai competitor and Brazilian jiu jitsu black belt under Renzo Gracie, regarded as a pioneering figure for the South American grappling style in the United States. A decorated grappler with numerous titles to his name, Easton is also known as one of the top instructors in the country having developed high end grapplers and mixed martial arts (MMA) fighters such as Shane Carwin, Elliott Marshall, Brendan Schaub, Nathan Marquardt and countless others.",https://www.bjjheroes.com/bjj-fighters/amal-easton
IBJJF Pan American 2016 Results,"Widely regarded as the second most important tournament in Brazilian jiu jitsu’s sporting calendar, the 2016 International Brazilian Jiu Jitsu Federation (IBJJF) Pan American …",https://www.bjjheroes.com/bjj-fighters/ibjjf-pan-american-2016-results
Patricia Fontes,"Patricia Fontes, commonly known as “Pati” Fontes, is a Brazilian jiu jitsu black belt under Lucas Leite, being one of the most successful competitors of her generation. Having built her resume in the lower belt divisions of the sport, Pati earned the grappling community’s admiration after her 2015 run, when she won her first two IBJJF World titles, first one as a brown belt (gi), repeating the deed a few months later, at the No-Gi Worlds as a black belt, consolidating her rank.",https://www.bjjheroes.com/bjj-fighters/patricia-fontes
"Mackenzie Dern Signs with Legacy FC, MMA Debut set for July","Mackenzie has been training at the famour MMA Lab for a few months, a gym that has produced names such as Ben Henderson, having also introduced another high profile jiu jitsu champion Augusto “Tanquinho” Mendes to MMA.",https://www.bjjheroes.com/bjj-fighters/mackenzie-dern-signs-with-legacy-fc-mma-debut-set-for-july
Pedro Gama Filho,"Pedro Gama, commonly known as Pedro “Gama Filho” is a historic figure for grappling based combat sports in Brazil, particularly for Brazilian jiu jitsu and judo. Among his greatest achievements were Pedro’s efforts towards placing jiu jitsu in the Physical Education curriculum of the Gama Filho University (UGF), his work in creating the “Reação” Institute, which allowed for thousands of underprivileged kids to access judo (many of which became international level athletes), his influence in the creation of teams such as GFTeam and Nova Geração, and above all his efforts in raising awareness for jiu jitsu and judo athletes in Brazil.",https://www.bjjheroes.com/bjj-fighters/pedro-gama-filho
Yan “Pica-Pau” Lucas,"Yan Lucas, commonly known as “Pica-Pau” is a Brazilian jiu jitsu black belt under Pirillo Roriz, and one of the top representatives of Gracie Barra – Ceará. “Pica-Pau” made a name for himself in the lower belt divisions of the sport, with wins at tournaments such as the IBJJF World Championship and the American Nationals, winning against big names of the sport such as Mahamed Aly, Isaac Doederlin, Hiago George and many others.",https://www.bjjheroes.com/bjj-fighters/yan-pica-pau-lucas
Marcel Gonçalves,"Marcel Gonçalves is a Brazilian jiu jitsu black belt under Roberto “Cyborg” Abreu, recognized as the very first student of the prestigious grappling coach. Gonçalves is one of the top lightweights of his generation having medalled in important tournaments such as the IBJJF No-Gi World Championships, the IBJJF World Championships as well as the IBJJF Pan American and FIVE Grappling’s North American Invitational Championship.",https://www.bjjheroes.com/bjj-fighters/marcel-goncalves
Leo Dalla,"Leonardo Dalla, commonly known as Leo Dalla, is a Brazilian jiu jitsu black belt under Master Jorge Pereira, known as one of the top super-heavyweight competitors during the 1990’s. Dalla is also revered for his coaching prowess, having developed several black belts, including the well known Maryland grappler Lloyd Irvin.",https://www.bjjheroes.com/bjj-fighters/leo-dalla
Chris Holdsworth,"Chris Holdsworth is a Brazilian jiu jitsu black belt under Marc Laimon. Regarded as one of the hottest prospects in the North American grappling circuit when he was “just” a purple belt, the former World Jiu-Jitsu No-Gi IBJJF Champion (2007) moved on to become a successful mixed martial arts (MMA) fighter, reaching the world’s top MMA promotion, the Ultimate Fighting Championship (UFC) after winning the famous The Ultimate Fighter (TUF) tournament – Team Rousey vs. Team Tate (2013). After a concussion suffered in practice Holdsworth was forced to step away from the cage prematurely, becoming one of the grappling coaches at the renowned Team Alpha Male academy.",https://www.bjjheroes.com/bjj-fighters/chris-holdsworth
Ítallo Vilardo,"Ítallo Vilardo is a jiu jitsu black belt under the illustrious Leonardo Castello Branco, well known in the grappling and mixed martial arts (MMA) circuits as one of the leading strength and conditioning experts in those fields. A former judo and jiu jitsu competitor who’s been around combat sports since the mid 1980s, Vilardo based his training methods on his own experiences as well as years of research, being behind the success of many important figures in contact sports.",https://www.bjjheroes.com/bjj-fighters/itallo-vilardo
Ruan de Oliveira,"Ruan de Oliveira is a Brazilian jiu jitsu black belt under Múzio de Angelis and Leandro Escobar. Ruan stood out in the lower belts of the sport, particularly during his brown belt campaign (2014/2015) for his success on the mat, as well as for his eye pleasing grappling style, with which he conquered important medals at the World Championship, Rio International Open as well as the UAEJJF Grand Slam Tour (Rio).",https://www.bjjheroes.com/bjj-fighters/ruan-de-oliveira
Brian Mahecha,"Brian Mahecha is a Brazilian jiu jitsu black belt under Jonatas Gurgel representing American Top Team in the sport’s international circuit. Brian is also an inspirational figure for many, being a cancer survivor who overcame the disease to became one of the top figures in jiu jitsu’s featherweight division, while also being one of his generation’s grappling style “standard-bearer” together with his twin brother Kevin Mahecha.",https://www.bjjheroes.com/bjj-fighters/brian-mahecha
Kevin Mahecha,"Kevin Mahecha is a Brazilian jiu jitsu black belt under Jonatas Gurgel, being widely regarded as one of the top lightweights of his generation. An American Top Team representative, Kevin and his twin brother Brian Mahecha (commonly known as the “Mahecha Bros”) embody the effectiveness of the new style of jiu jitsu, a style heavily supportive of the sport’s modern day techniques with which Kevin Mahecha beat big grappling names such as Tim Spriggs, Michael Liera Jr, Rodrigo Freitas and many others.",https://www.bjjheroes.com/bjj-fighters/kevin-mahecha
Pedro Araújo,"Pedro Araújo is a Brazilian jiu jitsu black belt under Vinícius “Draculino” Magalhães, being one of the top representatives of the Gracie Barra Academy in the heavyweight division. Pedro Araújo made a name for himself in this sport competing its the lower belt divisions, where he conquered over 40 IBJJF medals and 3 world titles.",https://www.bjjheroes.com/bjj-fighters/pedro-araujo
Jonathan Satava,"Jonathan Satava is a Brazilian jiu jitsu black belt under the legendary Marcelo Garcia, being part of the golden generation of grapplers produced inside Garcia’s Alliance New York academy. Regarded as one of the top prospects in the middle weight division due to his wins at the World (No-Gi) and Pan American Championships (Gi + No-Gi) in the lower belt divisions of the sport, Jonathan Satava solidified this claim in his 1st year competing as a black belt, with wins over established names of the grappling world.",https://www.bjjheroes.com/bjj-fighters/jonathan-satava
Alec Baulding,"Alec Baulding is a Brazilian jiu jitsu black belt under Romero Cavalcanti, being one of the most accomplished grapplers produced by the legendary Alliance Jiu Jitsu co-founder on American soil. Baulding earned the reputation of being one of the top grapplers of his generation in the lower belts of the sport, where he conquered a world title and 2 Pan American championships.",https://www.bjjheroes.com/bjj-fighters/alec-baulding
Henrique Gama Filho,"Henrique Gama Filho is a Brazilian jiu jitsu black belt under Francisco Albuquerque “Toco”, being also the son of the legendary Pedro Gama Filho, a historic figure for combat sports, particularly judo and jiu jitsu in Brazil. Henrique earned his space in the sport through his own hard work, being one of the top representatives of the ATT in Florida, USA.",https://www.bjjheroes.com/bjj-fighters/henrique-gama-filho
Pedro Duarte,"Pedro Duarte is a Brazilian jiu jitsu black belt under Murilo Bustamante, as well as a former World Champion of the sport, known for his close connection with the development of Hilti, one of Scandinavia’s strongest grappling academies as well as his work for Palm Sports in the United Arab Emirates (UAE), a company closely linked with the growth of the sport towards worldwide recognition.",https://www.bjjheroes.com/bjj-fighters/pedro-duarte
Admilson “Juquinha” Brites,"Admilson Brites, commonly known as “Juquinha”, is a Brazilian jiu jitsu black belt under Royler Gracie, being one of Gracie Humaita’s most accomplished athletes during the 2000’s decade. Juquinha is also also revered for his work towards the development of jiu jitsu in Brasília (Brazil’s capital), as well as being recognized for his incredible family tree, and its close relationship to grappling.",https://www.bjjheroes.com/bjj-fighters/admilson-brites
Arnaldo Maidana,"Arnaldo Maidana is a Brazilian jiu jitsu black belt under Gilberto Gabas, being also one of the most exciting talents of his generation. Maidana made a name for himself in the brown belt division of the sport, conquering important medals in the World Championship (gi/no-gi) and Brazilian Nationals implementing an eye pleasing grappling style with which he submitted some of the sport’s hottest prospects such as Felipe Pena (3x) and Vitor Silverio (2x), a style that carried on to his black belt campaigns.",https://www.bjjheroes.com/bjj-fighters/arnaldo-maidana
Jason Gagnon,"Jason Gagnon is a Brazilian jiu jitsu black belt under Rubens Charles “Cobrinha”, being also one of the top Canadian grapplers of his generation, having conquered important titles such as the American Nationals and the European Open in the International Brazilian Jiu Jitsu Federation’s circuit (IBJJF).",https://www.bjjheroes.com/bjj-fighters/jason-gagnon
Evandro Nunes,"Evandro Nunes is a Brazilian jiu jitsu black belt under Márcio Barão, being regarded as one of the most talented grapplers of his generation, both with and without the gi, having earned important medals in tournaments such as the World No-Gi Championship, Pan American Championship, Abu Dhabi Grand Slam, American Nationals and numerous others. Nunes is also known for his unique style of jiu jitsu never working for points and instead always committing to the submission against all his opponents.",https://www.bjjheroes.com/bjj-fighters/evandro-nunes
Emyr “Shark” Bussade,"Emyr Bussade, commonly known as “Shark” or “Tubarão”, is a Brazilian jiu jitsu black belt under Ricardo Libório, and a representative of American Top Team (ATT), having built one of the academy’s biggest affiliate gyms from where he developed talented athletes such as Tammi and Michael Musumeci, as well as Kevin and Brian Mahecha, to name a few. With a stellar career in the lower ranks of jiu jitsu, Emyr went on to compete in mixed martial arts (MMA) during the 2000’s decade, representing grappling in the cage to the highest standard, ending his career with an 82% submission ratio.",https://www.bjjheroes.com/bjj-fighters/emyr-shark-bussade
Faisal Al Kitbe,"Faisal Al Kitbe is a Brazilian jiu jitsu black belt under Alex Paz and Maiky Reiter, being known as the first high level grappler to come from the United Arab Emirates (UAE). Al Kitbe made a name for himself in the lower ranks of the sport, conquering a staggering 6 Abu Dhabi World Pro titles before breaking into the black belt division (2015).",https://www.bjjheroes.com/bjj-fighters/faisal-al-kitbe
Alex Paz,"Alex Paz, commonly known as Alex “Negão” is a Brazilian jiu jitsu black belt under Murilo Bustamante and Ricardo Libório, as well as a …",https://www.bjjheroes.com/bjj-fighters/alex-paz
Pirillo Roriz,"Pirillo Roriz is a Brazilian jiu jitsu black belt under Ricardo Pinho, being one of the main representatives of the Gracie Barra academy in the state of Ceará – Brazil. Although an accomplished grappler of his own merrit, Pirillo Roriz is mostly known for his work as an instructor, having produced several talented jiu jitsu competitors such as world champion Yan “Pica-Pau” Lucas and Helio Mourão.",https://www.bjjheroes.com/bjj-fighters/pirillo-roriz
Paulo Sergio,"Paulo Sergio is a 6th degree black belt in Brazilian jiu jitsu (BJJ) under Master Romero Cavalcanti, as well as an accomplished judo black …",https://www.bjjheroes.com/bjj-fighters/paulo-sergio
Rodnei Barbosa,"Rodnei Barbosa, commonly known as “Roy”, is a Brazilian jiu-jitsu black belt under the prestigious Paulo Rezende, a coach known for having developed grapplers …",https://www.bjjheroes.com/bjj-fighters/rodnei-barbosa
Diego Borges,"Diego Borges is a Brazilian jiu jitsu black belt under José Augusto Gato, being widely regarded as one of the top grappling competitors his generation, having conquered important medals in the sport, such as in the Brazilian National Championship, Copa Podio, World Championships, etc., having defeated big names of the sport such as Claudio Calasans, Clark Gracie, Dillon Danis, to name a few.",https://www.bjjheroes.com/bjj-fighters/diego-borges
Ailson Brites,"Ailson Brites, AKA “Jucão” is a jiu jitsu (BJJ) black belt under Carlos Gracie Jr. and a highly accomplished figure with wins at important tournaments including the Pan American, European Open, Masters World, International Masters & Seniors and many other championships. Ailson Brites is also known for his incredible family tree, and its close relationship to jiu jitsu, where you will find big names of this martial art such as grandmaster Geny Rebello, Armando Wriedt, Admilson “Juquinha” Brites.",https://www.bjjheroes.com/bjj-fighters/ailson-brites
Sophia McDermott Drysdale,"Sophia McDermott Drysdale is a 4 time Pan American Jiu Jitsu Champion, being also the first female Brazilian jiu jitsu black belt of Australian Nationality. Regarded as one of the top grappling competitors of her generation, Sophia is also known for her work in the fitness industry, having developed several programs for women, particularly on the subject of post pregnancy fitness.",https://www.bjjheroes.com/bjj-fighters/sophia-mcdermott-drysdale
Alison Tremblay,"Alison Tremblay is a Brazilian jiu jitsu black belt under Peter Tremblay and a representative of Canada in the international grappling circuit. Regarded as one of the most talented competitors of her generation, in 2015 Alison became the 2nd Canadian national ever to medal in the IBJJF World Jiu Jitsu Championship in the adult black belt division, further cementing that claim.",https://www.bjjheroes.com/bjj-fighters/alison-tremblay
Felipe Mota,"Felipe Mota, commonly known as “Gargamel”, is a Brazilian jiu jitsu black belt under Octávio “Ratinho” Couto and Vinicius Campelo of the Akxe Academy in Rio de Janeiro. A former Rio International Open Champion and IBJJF World Championship silver medalist, Felipe Mota is also known as one of the jiu jitsu pioneers in Scandinavia, particularly Norway.",https://www.bjjheroes.com/bjj-fighters/felipe-mota
Carlos Barreto,"“Carlão” Barreto is an iconic figure in both jiu jitsu and vale-tudo/no-holds-barred (NHB). A black belt under Sergio “Bolão”, Barreto defended the flag of jiu jitsu and the Carlson Gracie Academy inside cages and rings across the world against various styles of combat, defeating big names such as Kevin Randleman, Ben Rothwell, Dan Bobish and numerous others.",https://www.bjjheroes.com/bjj-fighters/carlos-barreto
Djalma Spindola,"Djalma Spindola is a Brazilian jiu jitsu black belt under Rodolfo Azevedo and Admilson “Juquinha” Brittes. Spindola earned the rank after a glorious campaign at brown belt, where he medalled at important tournaments such as the Pan American Championship, Brazilian National Championship, South American Championship.",https://www.bjjheroes.com/bjj-fighters/djalma-spindola
Aldo Januário,"Aldo Januário, commonly known as “Caveirinha” is a Brazilian jiu jitsu black belt under Carlos Gracie Junior, who is widely recognized as one of the top grappling coaches in the world. A pioneering figure for the sport in the city of Belo Horizonte – Brazil, Caveirinha developed some of the top competitors in the grappling world. people such as Rafael dos Anjos, Philipe Della Monica, Rodrigo de Freitas, Gustavo Saraiva, Igor Araújo, and many others.",https://www.bjjheroes.com/bjj-fighters/aldo-januario
Suyan Queiroz,"Suyan Queiroz is a Brazilian jiu jitsu black belt under Master Carlson Gracie, and one of the main lightweight competitors of the late 1990s/early 2000s era, having beaten big names of the sport such as Jefferson Moura, Leonardo Peçanha, Leonardo Santos, Raphael Abi-Rihan among many others. Queiroz is also revered for his work in Abu Dhabi, helping establish one of the most important grappling programs on the jiu jitsu world.",https://www.bjjheroes.com/bjj-fighters/suyan-queiroz
Luigi Mondelli,"Luigi Mondelli is a Brazilian jiu jitsu black belt under André “Deco” Almeida, being widely recognized as one of the top grappling instructors in the US. Mondelli has also been praised for his work with mixed martial arts (MMA) athletes from both American Top Team (ATT) and John Hackleman’s “The Pit”, with the mediatic Glover Teixeira being his most well known pupil. Luigi Mondelli is also the founder of Kore Brazilian Jiu Jitsu, an association that works to reintegrate jiu jitsu with the techniques of judo and wrestling.",https://www.bjjheroes.com/bjj-fighters/l-mondelli
Ricco Rodriguez,"Ricco Rodriguez is a Brazilian jiu jitsu black belt under Jean Jacques Machado, and an important figure in the history of the sport, being the first U.S. national to earn an ADCC gold medal (1998), and the 2nd American to earn a world title in Jiu Jitsu (1997). Rodriguez was also an important figure in the world of mixed martial arts (MMA) where he became the Ultimate Fighting Championship (UFC) Heavyweight Champion, though his career is also a controversial one, being the first MMA fighter ever to be suspended by the athletic commission for the use of cocaine.",https://www.bjjheroes.com/bjj-fighters/ricco-rodriguez
Elan Santiago,"Elan Santiago is a Brazilian jiu jitsu black belt under the illustrious Mauro Chueng, being known in the world of grappling for his incredible work as a coach, where he developed competitors such as Lucas Lepri, Tiago Rocha, Gabriel Goulart, Rodrigo “Akilis” and many others. Santiago is also recognized as a pioneer in the Brazilian region of “Triângulo Mineiro” and for his involvement with the social project of “Sonho do Beija-Flor”.",https://www.bjjheroes.com/bjj-fighters/elan-santiago
Tanner Rice,"Tanner Rice is a jiu jitsu black belt under “Cobrinha”, who became known as the first American born athlete to be promoted by the respected Alliance coach. Rice earned the rank at the age of 19, after winning the 2012 IBJJF world title, being at the time the youngest US native to achieve this deed. Later that year, in his black belt debut, Rice defeated two of the sport’s biggest names cementing his name as one of the most talented athletes in his division.",https://www.bjjheroes.com/bjj-fighters/tanner-rice
Hiago George,"Hiago George is a Brazilian jiu jitsu black belt under the illustrious Cícero Costha as well as Fabio Medeiros, being also one of the most accomplished featherweight competitors of his generation. Hiago made a name for himself competing mainly in the Brazilian grappling circuit, where he conquered numerous important titles.",https://www.bjjheroes.com/bjj-fighters/hiago-george
Karen Antunes,"Karen Antunes is a jiu jitsu black belt under Mayko Araújo, being also one of the top athletes in the sport’s female lightweight class. Antunes paved her way to the big leagues of the sport in the lower belt divisions, where she conquered 3 IBJJF world titles among many other important placements. However, it was her performance at the prestigious Five Super League tournament on August 2015",https://www.bjjheroes.com/bjj-fighters/karen-antunes
Isaac Doederlein,"Isaac Doederlein is a Brazilian jiu jitsu black belt under Rubens Charles “Cobrinha”, who also trained extensively with Wellington “Megaton” Dias during his first years in the sport. Doederlein made a name for himself in the sport’s lower belt divisions, from blue belt onwards, making use of a highly dynamic ground game, one that earned him numerous medals and loyal fans across the grappling globe.",https://www.bjjheroes.com/bjj-fighters/isaac-doederlein
Mansher Khera,"Mansher Khera, also known as “Munch” is a Brazilian jiu jitsu black belt of Sikh descent, being the first grappler produced from white to black belt by the legendary Marcelo Garcia. Khera arrived at the black belt division midway through 2015 being already regarded as one of the hottest prospects in the sport, mainly due to his incredible lower belt campaigns where he earned four World No-Gi titles (2013 and 2014 weight + absolute). He immediately cemented his status as one of the top lightweights in the world with solid performances at tournaments such as the IBJJF Boca Raton Open and the World No-Gi Championship.",https://www.bjjheroes.com/bjj-fighters/mansher-khera
Wander Braga,"Wander Braga is a Brazilian jiu jitsu (BJJ) black belt under Jorge Pereira, being one of the most well known competitors in the BJJ and vale-tudo (NHB) circuit during the mid 1990’s and early 2000’s decades. Wander Braga is also revered for his coaching success, having co-founded the famous Big Brother team and formed high calibre grappling competitors such as Gabriel Gonzaga.",https://www.bjjheroes.com/bjj-fighters/wander-braga
Ataíde Junior,"Ataíde Junior is a judo and Brazilian jiu jitsu black belt under Armando Wridt, being the founder of Constrictor Team, a grappling academy that has produced high level jiu jitsu and mixed martial arts (MMA) competitors such as Rani Yahya, Paulo Thiago, Francisco “Massaranduba” Trinaldo, Renato Moicano, Adriano Moraes and many others.",https://www.bjjheroes.com/bjj-fighters/ataide-junior
Gabriel Arges,"Gabriel Arges is a Brazilian jiu jitsu black belt under Romulo Barral and Felipe “Preguiça”, who also trained extensively with Marcelo “Uirapuru”, competing for the Gracie Barra Academy. Arges made a name for himself in the lower belt divisions of the sport, particularly during his purple and brown belt campaigns (2013-2015) where he conquered important titles such as IBJJF World Champion (Gi/No-Gi), European Open Champion, as well as Pan America and American National Champion.",https://www.bjjheroes.com/bjj-fighters/gabriel-arges
Suga Pop,"Steve da Silva, commonly known as “Suga Pop” is a legendary figure in the music and dance industries as well as in the sport of Brazilian jiu jitsu, a martial art for which he was one of the pioneering black belts in the Northern Hemisphere, helping promote the Nova Uniao Academy on US soil.",https://www.bjjheroes.com/bjj-fighters/suga-pop
Tomoyuki Hashimoto,"Tomoyuki Hashimoto, also known as “Passport”, is a Brazilian jiu jitsu black belt under Yuki Nakai, and one of the top rooster weight grapplers of his generation. Hashimoto made a name for himself in the sport competing in the lower belt divisions, while representing the Carpe Diem Academy of Japan for whom he won a World Jiu Jitsu title and the prestigious Dumau Challenge. In 2015, shortly after being awarded his black belt, Hashimoto cemented his status of elite jiu jitsu athlete by conquering a gold medal at the Abu Dhabi Grand Slam Tour.",https://www.bjjheroes.com/bjj-fighters/tomoyuki-hashimoto
Adriano Moraes,"Adriano Moraes, also known in the fight world as “Black Diamond”, is a Brazilian jiu jitsu black belt under the illustrious Ataíde Junior of Team Constrictor, with whom he became also one of the top mixed martial arts (MMA) fighters of his generation, having competed in important organizations such as Shooto Brazil and One FC, conquering the flyweight (125lbs) belt of the Singapore-based promotion in 2014.",https://www.bjjheroes.com/bjj-fighters/adriano-moraes
Gazzy Parman,"Gazzy Parman is a pioneer for women’s jiu jitsu and a black belt under John Lewis. A unique character in the female competitive grappling scene throughout the 2000’s decade, Gazzy’s outspoken demeanor and competitive accolades made her a fan favorite across the globe.",https://www.bjjheroes.com/bjj-fighters/gazzy-parman
Lucas Pinheiro,"Lucas Pinheiro, also known as “Bad Boy” is a jiu-jitsu black belt of Brazilian Indigenous descent, having been awarded the rank by Carlos Holanda. …",https://www.bjjheroes.com/bjj-fighters/lucas-pinheiro
Reylson Gracie,"Reylson Gracie is a 9th degree red belt in Brazilian jiu jitsu, and one of the most well respected representatives of the Gracie self defence style, being the son of Gracie jiu jitsu founder Carlos Gracie (Sr) and one of its pioneers in the United States where he raised awareness to the his family’s trade. Reylson is also an important figure in the development of jiu jitsu’s vocabulary, having created the names for several techniques, as well as a visionary in this martial art’s gi fashion, being the first producer of coloured gi’s (kimonos). Reylson is also the father of the well known MMA and BJJ fighter Rodrigo Gracie.",https://www.bjjheroes.com/bjj-fighters/reylson-gracie
Nic Ruben,"Nic Ruben is a Brazilian jiu jitsu black belt under Eduardo “Teta” Rios, being one of the most accomplished grappling competitors in the European continent. Earning medals at important tournaments such as the World No-Gi Championship, European Open or the Pan American No-Gi Championship, Ruben flew the Frontline Academy flag high (a team he co-founded) while raising awareness to the Norwegian jiu jitsu scene.",https://www.bjjheroes.com/bjj-fighters/nic-ruben
Felipe “Bocão” Silva,"Felipe Silva, commonly known as “Bocão” is a Brazilian jiu jitsu black belt under Rogério Poggio and Pitoco Jordan, being known as one of the most active competitors of the Infight Jiu Jitsu Academy throughout the 2000’s & 2010 decade. Bocão also became one of the main coaches of the team, later joining the United Arab Emirates school system as a grappling coach.",https://www.bjjheroes.com/bjj-fighters/felipe-bocao-silva
5 Up and Comming European Grapplers,"As the sport of Brazilian jiu jitsu expands to all corners of the Earth, more talent is generated by countries we not often relate …",https://www.bjjheroes.com/bjj-fighters/5-up-and-comming-european-grapplers
